label,wM,wV,wC,Sharpe Ratio,Max Drawdown,Annualized Return,Annualized Volatility,Calmar Ratio
wM=0.20,0.2,0.4,0.4,0.5115086438370633,-0.1993812414671606,0.06824772780433652,0.10057050216650396,0.34229763693981896
wM=0.25,0.25,0.375,0.375,0.5571671604590648,-0.19745933636849428,0.07394270318512852,0.10222398276119293,0.3744705342630053
wM=0.30,0.3,0.35,0.35,0.5950270777760184,-0.19155220029911027,0.0785809808739153,0.10316704600506714,0.4102327237756104
wM=0.35,0.35,0.325,0.325,0.547222909406813,-0.21111510514856402,0.07660442659201183,0.11017989521326245,0.36285620840869937
wM=0.40,0.4,0.3,0.3,0.5640038967918295,-0.21004710060590343,0.08048898323338238,0.11407947329782606,0.38319492628654844
wM=0.45,0.45,0.275,0.275,0.5639620783422328,-0.21004710060590312,0.08285646017429871,0.1189994423171634,0.39446609800987714
wM=0.50,0.5,0.25,0.25,0.5834226445794635,-0.1908816462022959,0.08799615821106599,0.12430577896189038,0.4609985295171223
wM=0.55,0.55,0.22499999999999998,0.22499999999999998,0.6079643800242611,-0.190881646202296,0.09206520439206978,0.12575777062106888,0.482315645447123
wM=0.60,0.6,0.2,0.2,0.5759960618027523,-0.2040674354590413,0.08834453943041098,0.12706287644766157,0.43291835971615744
Equal (1/3),0.3333333333,0.3333333333,0.3333333333,0.5369026253468693,-0.21111510514856402,0.07502423134151837,0.10939348022778583,0.3553712146211565
Canonical,0.65,0.25,0.1,0.7076893270858428,-0.18668880225578982,0.10477274455325736,0.12420781956432018,0.5612160091407304
